Date,Pay,Start,End,Active time,Dash time,Deliveries 
3/27,$28.75,11:53,14:06,1:19,2:12,4
3/31,$167.75,13:07,21:52,5:22,8:45,18
4/5,$36.00,14:12,15:38,1:04,1:26,4
4/6,$100.25,16:30,21:05,3:00,4:35,10
4/7,$197.94,17:16,1:31,5:54,8:15,24
4/8,$160.75,17:06,0:52,4:42,7:46,17
4/13,$86.13,17:29,21:14,2:58,3:45,12
4/14,$27.25,16:30,18:28,1:25,1:58,3
4/16,$113.50,12:00,17:28,4:13,5:28,13
4/17,$107.22,15:56,20:45,3:14,4:49,10
4/19,$148.47,11:57,20:06,4:39,8:09,15
4/20,$161.08,12:01,20:03,5:41,8:02,18
4/21,$53.00,18:58,22:15,2:20,3:17,6
4/22,$161.14,11:59,20:01,5:24,8:02,19
4/26,$166.41,11:31,23:31,6:36,12:00,20
4/27,$64.50,14:52,19:21,2:37,4:29,9
4/28,$242.83,12:02,0:04,7:45,12:02,26
4/29,$114.74,12:13,18:35,4:09,6:22,14
4/30,$140.25,12:12,18:28,4:23,6:16,15
5/3,$182.50,13:42,23:17,6:32,9:35,23
5/4,$227.50,13:26,0:46,6:58,11:20,26
5/5,$240.48,12:22,0:31,7:13,12:09,24
5/6,$303.36,12:56,2:32,9:01,13:36,31
5/7,$109.98,14:42,18:42,2:39,4:00,10